conference,gender,name,image_urls,year
Fosdem,male,Peter Czanik,,2012
Fosdem,male,Peter Czanik,,2014
Fosdem,male,Peter De Schrijver,,2014
Fosdem,male,Peter Karich,,2014
Fosdem,male,Peter Liljenberg,,2014
Fosdem,male,Peter Neubauer,,2014
Fosdem,male,Péter Szilágyi,,2014
Fosdem,male,Peter Van Eynde,,2014
Fosdem,male,Petr Pavlu,,2014
Fosdem,male,Petteri Räty,,2012
Fosdem,male,Phil Coval (rzr),,2014
Fosdem,male,Philip Balister,,2014
Fosdem,male,Philip Ballew,,2014
Fosdem,male,Philip Paeps,,2012
Fosdem,male,Philippe Caseiro,,2014
Fosdem,male,Philippe Colliot,,2014
Fosdem,male,Philippe Waroquiers,,2014
Fosdem,male,Philipp Storz,,2014
Fosdem,male,Philipp Wagner,,2014
Fosdem,male,Philip Van Hoof,,2014
Fosdem,male,Phil Leggetter,,2014
Fosdem,male,Phillip Muldoon,,2014
Fosdem,male,Pier Luigi Fiorini,,2014
Fosdem,male,Pierre Carbonnelle,,2014
Fosdem,male,Pierre Pronchery,,2014
Fosdem,male,Pierre Talbot,,2014
Fosdem,male,Pierre-Yves Chibon,,2014
Fosdem,male,Pieter Herroelen,,2014
Fosdem,male,Pieter Hintjens,,2014
Fosdem,male,Pieter Hollants,,2014
Fosdem,male,Pietro Abate,,2012
Fosdem,male,Poul-Henning Kamp,,2014
Fosdem,male,Radomir Dopieralski,,2014
Fosdem,male,Raphael Bircher,,2014
Fosdem,male,Raphael Goujet,,2014
Fosdem,male,Remi Bergsma,,2014
Fosdem,male,Renato Golin,,2014
Fosdem,male,René Cannaò,,2014
Fosdem,male,Renzo Davoli,,2012
Fosdem,male,Renzo Davoli,,2014
Fosdem,male,Richard Fontana,,2014
Fosdem,male,Richard Hartmann,,2012
Fosdem,male,Richard Hartmann,,2014
Fosdem,male,Richard Jones,,2014
Fosdem,male,Richard Mortier,,2014
Fosdem,male,Robert Dewar,,2012
Fosdem,male,Robert Kaiser,,2014
Fosdem,male,Robert Kowalski,,2014
Fosdem,male,Robert Lougher,,2014
Fosdem,male,Robert Schwebel,,2014
Fosdem,male,Roger Pau Monné,,2014
Fosdem,male,Roland Bouman,,2014
Fosdem,male,Roland Grunberg,,2014
Fosdem,male,Romain Guillebert,,2014
Fosdem,male,Romain PELISSE,,2012
Fosdem,male,Roman Kennke,,2014
Fosdem,male,Rubén Héctor,,2014
Fosdem,male,Russ Herrold,,2014
Fosdem,male,Samuel Thibault,,2014
Fosdem,male,Sandro Munda,,2014
Fosdem,male,Santiago Bragagnolo,,2014
Fosdem,male,Sawyer X,,2014
Fosdem,male,Sean OMeara,,2014
Fosdem,male,Sebastian Bergmann,,2014
Fosdem,male,Sebastian Dröge (slomo),,2014
Fosdem,male,Sebastian Lackner,,2014
Fosdem,male,Sebastien Goasguen,,2014
Fosdem,male,Sebastien Han,,2014
Fosdem,male,Serafeim Zanikolas,,2012
Fosdem,male,Serge Frezefond,,2014
Fosdem,male,Shane McIntosh,,2014
Fosdem,male,Siebrand Mazeland,,2014
Fosdem,male,Simon Cook,,2014
Fosdem,male,Simon Hollis,,2014
Fosdem,male,Simon Phipps,,2012
Fosdem,male,Srinivas Kalaga,,2014
Fosdem,male,Stefan Dösinger,,2014
Fosdem,male,Stefan Kalkowski,,2014
Fosdem,male,Stefan Marr,,2014
Fosdem,male,Stefano Karapetsas,,2014
Fosdem,male,Stefano Stabellini,,2014
Fosdem,male,Stefano Zacchiroli,,2012
Fosdem,male,Stefano Zacchiroli,,2014
Fosdem,male,Stefan Schmidt,,2014
Fosdem,male,Steffen Trumtrar,,2014
Fosdem,male,Steinar H. Gunderson,,2014
Fosdem,male,Stephan Bergmann,,2014
Fosdem,male,Stephan Eggermont,,2014
Fosdem,male,Stephen Gallagher,,2014
Fosdem,male,Steve McIntyre,,2012
Fosdem,male,Steven Beeckman,,2014
Fosdem,male,Steven Goodwin,,2014
Fosdem,male,Steve O’Grady,,2014
Fosdem,male,Svante Schubert,,2014
Fosdem,male,Sven Gothel,,2014
Fosdem,male,Sylvain Lebresne,,2012
Fosdem,male,Sylvain Munaut,,2014
Fosdem,male,Sylvestre Ledru,,2014
Fosdem,male,Thierry Carrez,,2014
Fosdem,male,Thomas Oberndörfer,,2014
Fosdem,male,Thorsten Behrens,,2014
Fosdem,male,Timo Müller,,2014
Fosdem,male,Timo Sirainen,,2012
Fosdem,male,Timo Sirainen,,2014
Fosdem,male,Tim-Philipp Müller,,2014
Fosdem,male,Tim Ruffles,,2014
Fosdem,male,Tim Sander,,2014
Fosdem,male,Tobias Grosser,,2014
Fosdem,male,Tobias Hunger,,2014
Fosdem,male,Tobias Mueller,,2014
Fosdem,male,Tom Callaway,,2014
Fosdem,male,Tom Marble,,2014
Fosdem,male,Tom Rondeau,,2014
Fosdem,male,Tom Tromey,,2014
Fosdem,male,Tor Lillqvist,,2014
Fosdem,male,Torsten Fabricius,,2014
Fosdem,male,Torvald Riegel,,2014
Fosdem,male,Trevor Carlson,,2014
Fosdem,male,Ulrich Schroeter,,2012
Fosdem,male,Vadim Rutkovsky,,2014
Fosdem,male,Valentin Schmitt,,2012
Fosdem,male,Vangelis Koukis,,2014
Fosdem,male,Vasilis (tzikis) Georgitzikis,,2012
Fosdem,male,Veniamin Gvozdikov,,2014
Fosdem,male,Vilho Raatikka,,2014
Fosdem,male,Vincent Massol,,2014
Fosdem,male,Vincent Untz,,2012
Fosdem,male,Vlad Paiu,,2014
Fosdem,male,Volker Simonis,,2014
Fosdem,male,William Candillon,,2012
Fosdem,male,William Duyck (FuzzyFox),,2014
Fosdem,male,Wim Godden,,2012
Fosdem,male,Wolfram Sang,,2014
Fosdem,male,Wouter Gazendam,,2014
Fosdem,male,Xavier Besseron,,2014
Fosdem,male,Yan Shoshitaishvili,,2014
Fosdem,mostly_female,Carol Huang,,2014
Fosdem,mostly_female,José Bollo,,2014
Fosdem,mostly_female,José F. Ruiz,,2014
Fosdem,mostly_male,Chris Aniszczyk,,2014
Fosdem,mostly_male,Chris Conlon,,2014
Fosdem,mostly_male,Chris Kühl,,2014
Fosdem,mostly_male,Chris Lord,,2014
Fosdem,mostly_male,Chris Michael,,2014
Fosdem,mostly_male,Claude Huchet,,2014
Fosdem,mostly_male,Corey Quinn,,2014
Fosdem,mostly_male,Donnie Berkholz,,2012
Fosdem,mostly_male,Donnie Berkholz,,2014
Fosdem,mostly_male,Hayden Field,,2014
Fosdem,mostly_male,Javier Ramírez,,2014
Fosdem,mostly_male,Javier Serrano,,2012
Fosdem,mostly_male,Jesus M. Gonzalez-Barahona,,2014
Fosdem,mostly_male,Mani Sarkar,,2014
Fosdem,mostly_male,Matija Šuklje,,2014
Fosdem,mostly_male,Maxime Vincent,,2014
Fosdem,mostly_male,Morgan Tocker,,2014
Fosdem,mostly_male,Sasha Levin,,2012
Fosdem,mostly_male,Stéphane Desneux,,2014
Fosdem,mostly_male,Stéphane Varoqui,,2014
Fosdem,mostly_male,Terry Dhariwal,,2014
Fosdem,mostly_male,Wietse Venema,,2014
Fosdem,mostly_male,Will Leinweber,,2014
Fosdem,mostly_male,Will Stephenson,,2012
FreeGeek Chicago,andy,FreeGeek Volunteer,,2013
FreeGeek Chicago,andy,Mahrinah von Schlegel,,2013
FreeGeek Chicago,andy,Nishitha Ningegowda,,2012
FreeGeek Chicago,andy,Radicals Against Discrimination (R.A.D.) Chicago,,2013
FreeGeek Chicago,andy,Squeaky Clean,,2012
FreeGeek Chicago,andy,Supreme Chi-Town Coding Crew,,2013
FreeGeek Chicago,andy,Wilberto Morales,,2013
FreeGeek Chicago,female,Beth Lynn Eicher,,2012
FreeGeek Chicago,female,Kate Eyler-Werve,,2012
FreeGeek Chicago,female,Meg Ford,,2012
FreeGeek Chicago,female,Meg Ford,,2013
FreeGeek Chicago,female,Naomi Ceder,,2013
FreeGeek Chicago,male,Brian Cameron,,2012
FreeGeek Chicago,male,Christopher Allan Webber,,2012
FreeGeek Chicago,male,David Eads,,2013
FreeGeek Chicago,male,Erik Johnson,,2012
FreeGeek Chicago,male,James Mazurek,,2012
FreeGeek Chicago,male,James Slater,,2012
FreeGeek Chicago,male,James Slater,,2013
FreeGeek Chicago,male,Jay Margalus and Russ Lankenau,,2013
FreeGeek Chicago,male,Joel Luellwitz,,2012
FreeGeek Chicago,male,Martin O'Shield,,2012
FreeGeek Chicago,male,Todor Krecu,,2012
FreeGeek Chicago,mostly_male,Chris Fitzgerald,,2013
Fronteers,andy,Bor Verkroost,,2012
Fronteers,andy,Garann Means,,2013
Fronteers,andy,Iacobien Riezebosch,,2012
Fronteers,andy,Jina Bolton,,2010
Fronteers,andy,Simurai,,2012
Fronteers,female,Angelina Fabbro,,2013
Fronteers,female,Anne van Kesteren,,2010
Fronteers,female,Anne van Kesteren,,2012
Fronteers,female,Divya Manian,,2011
Fronteers,female,Elaine  Oliver,,2013
Fronteers,female,Lea Verou,,2011
Fronteers,female,Lea Verou,,2012
Fronteers,female,Meagan Fisher,,2010
Fronteers,female,Rebecca Murphey,,2012
Fronteers,female,Varvara Stepanova,,2012
Fronteers,female,Zoe Mickley Gillenwater,,2013
Fronteers,male,Addy Osmani,,2012
Fronteers,male,Alex Graul,,2012
Fronteers,male,Alex MacCaw,,2013
Fronteers,male,Alex Russell,,2011
Fronteers,male,Alex Russell,,2012
Fronteers,male,Andy Clark,,2010
Fronteers,male,Anselm Hannemann,,2012
Fronteers,male,Antoine Hegeman,,2012
Fronteers,male,Anton Nemtsev,,2012
Fronteers,male,Anton Verhoucke,,2013
Fronteers,male,Aral Balkan,,2011
Fronteers,male,Brad Neuberg,,2010
Fronteers,male,Bram Duvigneau,,2012
Fronteers,male,Bruce Lawson,,2011
Fronteers,male,Bruce Lawson,,2013
Fronteers,male,Christian Heilmann,,2010
Fronteers,male,Christian Heilmann,,2011
Fronteers,male,Dan Rubin,,2010
Fronteers,male,David DeSandro,,2012
Fronteers,male,Derek Featherstone,,2011
Fronteers,male,Domenic Denicola,,2013
Fronteers,male,Edd Sowden,,2013
Fronteers,male,Eric Eggert,,2012
Fronteers,male,Håkon Wium Lie,,2010
Fronteers,male,Hans Christian Reinl,,2012
Fronteers,male,Hans Hillen,,2010
Fronteers,male,Harry Roberts,,2013
Fronteers,male,Jake Archibald,,2010
Fronteers,male,Jake Archibald,,2011
Fronteers,male,Jan van Hellemond,,2012
Fronteers,male,Jeremy Keith,,2010
Fronteers,male,Jeroen Wijering,,2012
Fronteers,male,John Resig,,2011
Fronteers,male,Lennart Schoors,,2012
Fronteers,male,Luc,,2013
Fronteers,male,Marc Hinse,,2012
Fronteers,male,Marcin Wichary,,2012
Fronteers,male,Marcos Caceres,,2013
Fronteers,male,Mark Boulton,,2012
Fronteers,male,Mathias Bynens,,2012
Fronteers,male,Nicholas Zakas,,2010
Fronteers,male,Oliver Reichenstein,,2013
Fronteers,male,Paul Irish,,2010
Fronteers,male,Paul Lewis,,2013
Fronteers,male,Peter Müller,,2012
Fronteers,male,Peter Nederlof,,2012
Fronteers,male,Peter-Paul Koch,,2012
Fronteers,male,Peter van der Zee,,2013
Fronteers,male,Phil Hawksworth,,2012
Fronteers,male,Philipp Naderer,,2012
Fronteers,male,Robbert Broersma,,2012
Fronteers,male,Robert Jan Verkade,,2013
Fronteers,male,Robert Nyman,,2010
Fronteers,male,Robert Nyman,,2011
Fronteers,male,Rodney Rehm,,2012
Fronteers,male,Roman Komarov,,2012
Fronteers,male,Scott Kosman,,2012
Fronteers,male,Seb Lee-Delisle,,2011
Fronteers,male,Sergi  Mansilla,,2013
Fronteers,male,Stephen Hay,,2010
Fronteers,male,Stephen Hay,,2011
Fronteers,male,Stephen Hay,,2012
Fronteers,male,Steve Faulkner,,2010
Fronteers,male,Steve Souders,,2013
Fronteers,male,Stoyan Stefanov,,2010
Fronteers,male,Tab Atkins,,2011
Fronteers,male,Vasilis van Gemert,,2012
Fronteers,mostly_female,Leslie Jensen-Inman,,2011
Fronteers,mostly_female,Rian Rietveld,,2012
Fronteers,mostly_male,Cameron Adams,,2010
Garden City Ruby,andy,Ajey Gore,,2014
Garden City Ruby,andy,Anandha Krishnan,,2014
Garden City Ruby,andy,Arnab Deka,,2014
Garden City Ruby,andy,Baishampayan Ghose,,2014
Garden City Ruby,andy,Pavan Sudarshan,,2014
Garden City Ruby,andy,Prateek Dayal,,2014
Garden City Ruby,andy,Sakshi Jain,,2014
Garden City Ruby,andy,Tejas Dinkar,,2014
Garden City Ruby,andy,Vamsee Kanakala,,2014
Garden City Ruby,andy,Yogi Kulkarni,,2014
Garden City Ruby,female,Coby Randquist,,2014
Garden City Ruby,female,Pallavi Shastry,,2014
Garden City Ruby,male,Aman King,,2014
Garden City Ruby,male,Chad Fowler,,2014
Garden City Ruby,male,Gautam Rege,,2014
Garden City Ruby,male,Hari  Krishnan,,2014
Garden City Ruby,male,Hemant Kumar,,2014
Garden City Ruby,mostly_male,Prakash Murthy,,2014
Golden Gate Ruby Conference,andy,Hampton Catlin,,2009
Golden Gate Ruby Conference,andy,Rusty Burchfield,,2009
Golden Gate Ruby Conference,andy,Steven!  Ragnarök,,2012
Golden Gate Ruby Conference,andy,Various Presenters,,2010
Golden Gate Ruby Conference,andy,Various Presenters,,2011
Golden Gate Ruby Conference,female,Aja Hammerly,,2013
Golden Gate Ruby Conference,female,Carina C. Zona,,2012
Golden Gate Ruby Conference,female,Daniela  Wellisz,,2012
Golden Gate Ruby Conference,female,Elisabeth Hendrickson,,2010
Golden Gate Ruby Conference,female,Emily Stolfo,,2013
Golden Gate Ruby Conference,female,Erica Kwan,,2011
Golden Gate Ruby Conference,female,Heather  Rivers,,2012
Golden Gate Ruby Conference,female,Nell Shamrell,,2013
Golden Gate Ruby Conference,female,Sarah Allen,,2010
Golden Gate Ruby Conference,female,Sarah Mei,,2010
Golden Gate Ruby Conference,female,Sarah Mei,,2012
Golden Gate Ruby Conference,female,Sarah Mei,,2013
Golden Gate Ruby Conference,male,Aaron Patterson,,2010
Golden Gate Ruby Conference,male,Aaron Patterson,,2011
Golden Gate Ruby Conference,male,Aaron Quint,,2009
Golden Gate Ruby Conference,male,Amit Kumar,,2012
Golden Gate Ruby Conference,male,Anthony Zacharakis,,2013
Golden Gate Ruby Conference,male,Avdi Grimm,,2012
Golden Gate Ruby Conference,male,Avi Bryant,,2010
Golden Gate Ruby Conference,male,Ben Orenstein,,2013
Golden Gate Ruby Conference,male,Bryan Helmkamp,,2010
Golden Gate Ruby Conference,male,Bryan Liles,,2010
Golden Gate Ruby Conference,male,Carl Lerche,,2009
Golden Gate Ruby Conference,male,Charles Nutter,,2012
Golden Gate Ruby Conference,male,Dave Grijalva,,2011
Golden Gate Ruby Conference,male,David Copeland,,2011
Golden Gate Ruby Conference,male,David Copeland,,2012
Golden Gate Ruby Conference,male,David Stevenson,,2009
Golden Gate Ruby Conference,male,Davis Frank,,2013
Golden Gate Ruby Conference,male,Davy Stevenson,,2013
Golden Gate Ruby Conference,male,Eric Mill,,2010
Golden Gate Ruby Conference,male,Erik Michaels-Ober,,2012
Golden Gate Ruby Conference,male,Evan Phoenix,,2010
Golden Gate Ruby Conference,male,Glenn Vanderburg,,2012
Golden Gate Ruby Conference,male,Greg Borenstein,,2009
Golden Gate Ruby Conference,male,Gregory Miller,,2009
Golden Gate Ruby Conference,male,Ilya Grigorik,,2009
Golden Gate Ruby Conference,male,Ilya Grigorik,,2010
Golden Gate Ruby Conference,male,Ilya Grigorik,,2011
Golden Gate Ruby Conference,male,Ilya  Grigorik,,2012
Golden Gate Ruby Conference,male,Jack Danger Canty,,2012
Golden Gate Ruby Conference,male,James Edward Gray II,,2013
Golden Gate Ruby Conference,male,Jay Phillips,,2009
Golden Gate Ruby Conference,male,Jeff Atwood,,2013
Golden Gate Ruby Conference,male,Jeff Casimir,,2011
Golden Gate Ruby Conference,male,Jesse Toth,,2013
Golden Gate Ruby Conference,male,Jim Weirich,,2010
Golden Gate Ruby Conference,male,Joe Kutner,,2012
Golden Gate Ruby Conference,male,Joe O'Brien,,2012
Golden Gate Ruby Conference,male,John Downey,,2012
Golden Gate Ruby Conference,male,John Wilkinson,,2013
Golden Gate Ruby Conference,male,Jon Crosby,,2009
Golden Gate Ruby Conference,male,Jose Valim,,2011
Golden Gate Ruby Conference,male,Josh Tyler,,2009
Golden Gate Ruby Conference,male,Joshua Peek,,2009
Golden Gate Ruby Conference,male,Konstantin Haase,,2011
Golden Gate Ruby Conference,male,Mike Dalessio,,2013
Golden Gate Ruby Conference,male,Nathan Sobo,,2009
Golden Gate Ruby Conference,male,Noah Gibbs,,2013
Golden Gate Ruby Conference,male,Rein Henrichs,,2010
Golden Gate Ruby Conference,male,Ron Evans,,2011
Golden Gate Ruby Conference,male,Ron Evans,,2013
Golden Gate Ruby Conference,male,Sandi Metz,,2012
Golden Gate Ruby Conference,male,Steve Klabnik,,2013
Golden Gate Ruby Conference,male,Tim Anglade,,2011
Golden Gate Ruby Conference,male,Tim Connor,,2011
Golden Gate Ruby Conference,male,Tim Elliot,,2009
Golden Gate Ruby Conference,male,Tom Dale,,2013
Golden Gate Ruby Conference,male,Tom Stuart,,2013
Golden Gate Ruby Conference,male,Tony Arcieri,,2012
Golden Gate Ruby Conference,male,Wesley Beary,,2011
Golden Gate Ruby Conference,male,Yehuda Katz,,2009
Golden Gate Ruby Conference,male,Yehuda Katz,,2010
Golden Gate Ruby Conference,male,Yehuda Katz,,2011
Golden Gate Ruby Conference,male,Yehuda Katz,,2012
Golden Gate Ruby Conference,male,Yehuda Katz,,2013
Golden Gate Ruby Conference,mostly_male,Blake Mizerany,,2009
Golden Gate Ruby Conference,mostly_male,Blake Mizerany,,2010
Golden Gate Ruby Conference,mostly_male,Chris Eppstein,,2011
Golden Gate Ruby Conference,mostly_male,Chris Eppstein,,2012
Golden Gate Ruby Conference,mostly_male,Chris Hunt,,2013
Golden Gate Ruby Conference,mostly_male,Chris Strom,,2011
Golden Gate Ruby Conference,mostly_male,Corey Haines,,2011
Golden Gate Ruby Conference,mostly_male,Rich Kilmer,,2009
Golden Gate Ruby Conference,mostly_male,Rich Kilmer,,2010
Golden Gate Ruby Conference,mostly_male,Ryan Davis,,2010
Golden Gate Ruby Conference,mostly_male,Ryan Davis,,2013
Golden Gate Ruby Conference,mostly_male,Ryan Dy,,2011
Golden Gate Ruby Conference,mostly_male,Ryan Tomayko,,2010
Golden Gate Ruby Conference,mostly_male,Sam Saffron,,2013
Golden Gate Ruby Conference,mostly_male,Tyler McMullen,,2011
GORUCO,andy,JD Harrington,,2013
GORUCO,andy,Pat Shaughnessy,,2012
GORUCO,andy,Pat Shaughnessy,,2013
GORUCO,andy,Various Presenters,,2008
GORUCO,andy,Various Presenters,,2009
GORUCO,female,Eleanor McHugh,,2009
GORUCO,female,Emily Stolfo,,2013
GORUCO,female,Julie Gill,,2013
GORUCO,male,Aaron Quint,,2013
GORUCO,male,Andre Arko,,2013
GORUCO,male,Ben Stein,,2009
GORUCO,male,Bryan Helmkamp,,2008
GORUCO,male,Daniel Doubrovkine,,2012
GORUCO,male,Dan Yoder,,2009
GORUCO,male,David Chelimsky,,2012
GORUCO,male,Dr. Nic Williams,,2012
GORUCO,male,Ezra Zygmuntowicz,,2008
GORUCO,male,Francis Hwang,,2012
GORUCO,male,Giles Bowkett,,2008
GORUCO,male,Gregory Brown,,2009
GORUCO,male,Haris Amin,,2012
GORUCO,male,Jake Howerton,,2009
GORUCO,male,Jeff Casimir,,2012
GORUCO,male,Jim Weirich,,2012
GORUCO,male,John Pignata,,2013
GORUCO,male,Justin Leitgeb,,2012
GORUCO,male,Kevin Sheurs,,2013
GORUCO,male,Luke Melia,,2012
GORUCO,male,Martin Boßlet,,2013
GORUCO,male,Matt Duncan,,2012
GORUCO,male,Matt Salerno,,2013
GORUCO,male,Matt Wynne,,2012
GORUCO,male,Michael Bernstein,,2013
GORUCO,male,Mike Dalessio,,2013
GORUCO,male,Paul Dix,,2008
GORUCO,male,Sandi Metz,,2009
GORUCO,male,Sebastian Delmont,,2012
GORUCO,male,Steve Berry,,2013
GORUCO,male,Yehuda Katz,,2009
GORUCO,mostly_female,Lauren Voswinkel,,2013
GORUCO,mostly_male,Chris Wanstrath,,2008
GORUCO,mostly_male,Ryan Davis,,2008
HTML 5.tx,andy,Burke Holland,,2013
HTML 5.tx,andy,Garann Means,,2013
HTML 5.tx,female,Anne Epstein,,2013
HTML 5.tx,female,Estelle Weyl,,2013
HTML 5.tx,female,Kassandra Perch,,2013
HTML 5.tx,female,Pamela Fox,,2013
HTML 5.tx,male,Aaron Murray,,2013
HTML 5.tx,male,Austin Hallock,,2013
HTML 5.tx,male,Bradley Meck,,2013
HTML 5.tx,male,Brian Rinaldi,,2013
HTML 5.tx,male,Christopher Schmitt,,2013
HTML 5.tx,male,Cole Davis,,2013
HTML 5.tx,male,Dave Freeman,,2013
HTML 5.tx,male,Jake Smith,,2013
HTML 5.tx,male,Jesse Cravens,,2013
HTML 5.tx,male,Joe McCann,,2013
HTML 5.tx,male,Jonathan Hebert,,2013
HTML 5.tx,male,Kevin Lamping,,2013
HTML 5.tx,male,Matthew Carver,,2013
HTML 5.tx,male,Mike Taylor,,2013
HTML 5.tx,male,Nathan Smith,,2013
HTML 5.tx,male,Shay  Howe,,2013
HTML 5.tx,male,Tim G. Thomas,,2013
HTML 5.tx,male,Tony Farnsworth,,2013
HTML 5.tx,male,William Moner,,2013
HTML 5.tx,mostly_female,Kyle Simpson,,2013
HTML 5.tx,mostly_male,Chris Ruppel,,2013
HTML 5.tx,mostly_male,Cody Lindley,,2013
HTML 5.tx,mostly_male,Ryan Joy,,2013
Ictev,andy,Bec Spink,,2013
Ictev,andy,Kerron Worsdell,,2013
Ictev,andy,Kynan Robinson,,2013
Ictev,andy,Mic Lowne,,2013
Ictev,andy,mikl longstaff,,2013
Ictev,andy,Narissa Leung,,2013
Ictev,andy,Pat Minton,,2013
Ictev,andy,Robyne Luketic,,2013
Ictev,female,Amanda Rablin,,2013
Ictev,female,Annelie Zuccolo,,2013
Ictev,female,Anne Mirtschin,,2013
Ictev,female,Bianca Cumine-Groza,,2013
Ictev,female,Britt Gow,,2013
Ictev,female,Camilla Elliott,,2013
Ictev,female,Corrie Barclay,,2013
Ictev,female,Debra Burger,,2013
Ictev,female,Georgina Pazzi,,2013
Ictev,female,Helen Otway,,2013
Ictev,female,Jacqueline Benson,,2013
Ictev,female,Jenny Ashby,,2013
Ictev,female,Joanne Blannin,,2013
Ictev,female,Judi Fallon,,2013
Ictev,female,Kirsty Watts,,2013
Ictev,female,Lois Smethurst,,2013
Ictev,female,Megan Iemma,,2013
Ictev,female,Melanie Eggins,,2013
Ictev,female,Michelle Heintze,,2013
Ictev,female,Michelle Meracis,,2013
Ictev,female,Natalie Hendry,,2013
Ictev,female,Pippa Ross,,2013
Ictev,female,Rachael Williams,,2013
Ictev,female,Sarah Hallows,,2013
Ictev,female,Stephanie Watson,,2013
Ictev,female,Suzanne Arnott,,2013
Ictev,female,Teresa Deshon,,2013
Ictev,female,Therese Keane,,2013
Ictev,male,Aaron Davis,,2013
Ictev,male,Adrian Camm,,2013
Ictev,male,Andrew Del Mastro,,2013
Ictev,male,Anthony Speranza,,2013
Ictev,male,Ben Gallagher,,2013
Ictev,male,Brian Chau,,2013
Ictev,male,Ching-Rui (Jeremy) Chen,,2013
Ictev,male,Colin Edwards,,2013
Ictev,male,Daniel Donahoo,,2013
Ictev,male,Daniel Harrington,,2013
Ictev,male,David Burton,,2013
Ictev,male,Dean Pearman,,2013
Ictev,male,Di Floyd,,2013
Ictev,male,Gregg Brown,,2013
Ictev,male,Greg Gebhart,,2013
Ictev,male,James Hamlyn-Harris,,2013
Ictev,male,James Leckie,,2013
Ictev,male,Jarrod Robinson,,2013
Ictev,male,John Pearce,,2013
Ictev,male,Lachlan Yeates,,2013
Ictev,male,Luke Johnson,,2013
Ictev,male,Luke Newell,,2013
Ictev,male,Marc Blanks,,2013
Ictev,male,Mark O&#039;Meara,,2013
Ictev,male,Michael Henderson,,2013
Ictev,male,Nathan Jones,,2013
Ictev,male,Nathan Lane,,2013
Ictev,male,Nicky Carr,,2013
Ictev,male,Phillip Cristofaro,,2013
Ictev,male,Roland Gesthuizen,,2013
Ictev,male,Sean Elliott,,2013
Ictev,male,Simon Collier,,2013
Ictev,male,Tim Kitchen,,2013
Ictev,male,Todd Sprague,,2013
Ictev,male,Trent Ray,,2013
Ictev,male,Victor Steffensen,,2013
Ictev,mostly_female,Camille Davey,,2013
Ictev,mostly_female,Gail Casey,,2013
Ictev,mostly_female,Kerry Law,,2013
Ictev,mostly_female,Kim Martin,,2013
Ictev,mostly_female,Lauren Sayer,,2013
Ictev,mostly_male,Cameron Hocking,,2013
Ictev,mostly_male,Lou Bowe,,2013
Ictev,mostly_male,Shawn Taggart,,2013
Ignite Buffalo,female,Bridget Kelly,,2013
Ignite Buffalo,male,Chaz Adams,,2013
Ignite Buffalo,male,Dan Gigante,,2013
Ignite Buffalo,male,Jordan Walbesser,,2013
Ignite Buffalo,male,Paddy Foran,,2013
Ignite RailsConf,male,Adam Keys,,2012
Ignite RailsConf,male,Andy Maleh,,2012
Ignite RailsConf,male,Bryan Liles,,2012
Ignite RailsConf,male,Jesse Wolgamott,,2012
Ignite RailsConf,male,Kenichi Murahashi,,2012
Ignite RailsConf,mostly_male,Chris Holland,,2012
International Conference on Functional Programming,andy,Neekajantan R. Krishnaswami,,2012
International Conference on Functional Programming,male,Brian Huffman,,2012
International Conference on Functional Programming,male,Bruno Oliveira,,2012
International Conference on Functional Programming,male,Conor McBride,,2012
International Conference on Functional Programming,male,Eric Walkenshaw,,2012
International Conference on Functional Programming,male,Gordon Stewart,,2012
International Conference on Functional Programming,male,Joshua Dunfield,,2012
International Conference on Functional Programming,male,Magnus Myreen,,2012
International Conference on Functional Programming,male,Neil Mitchell,,2012
International Conference on Functional Programming,male,Nils Anders Danielsson,,2012
International Conference on Functional Programming,male,Olaf Chitil,,2012
International Conference on Functional Programming,male,Pierre-Evariste Dagand,,2012
International Conference on Functional Programming,male,Tim Sheard,,2012
Jax Conf,andy,Abdelmonaim Remani,,2012
Jax Conf,andy,Elishia Dvorak,,2012
Jax Conf,andy,Jez Humble,,2012
Jax Conf,male,Andrew Phillips,,2012
Jax Conf,male,Brian Sletten,,2012
Jax Conf,male,Charles Nutter,,2012
Jax Conf,male,Douglas Crockford,,2012
Jax Conf,male,Eberhard Wolff,,2012
Jax Conf,male,Jevgeni Kabanov,,2012
Jax Conf,male,Josh Long,,2012
Jax Conf,male,Kohsuke Kawaguchi,,2012
Jax Conf,male,Lincoln Baxter,,2012
Jax Conf,male,Neal Ford,,2012
Jax Conf,male,Stephen Chin,,2012
Jax Conf,male,Ted Neward,,2012
Jax Conf,mostly_male,Rich Hickey,,2012
Jenkins User Conference San Francisco,male,Adrian Cole,,2012
Jenkins User Conference San Francisco,male,Andrew Bayer,,2012
Jenkins User Conference San Francisco,male,Anton Arhipov,,2012
Jenkins User Conference San Francisco,male,Baruch Sadogursky,,2012
Jenkins User Conference San Francisco,male,Brian Moyles,,2012
Jenkins User Conference San Francisco,male,Constantin Caraivan,,2012
Jenkins User Conference San Francisco,male,David Tolley,,2012
Jenkins User Conference San Francisco,male,Gareth Bowles,,2012
Jenkins User Conference San Francisco,male,Greg Wester,,2012
Jenkins User Conference San Francisco,male,James Blair,,2012
Jenkins User Conference San Francisco,male,Justin Ryan,,2012
Jenkins User Conference San Francisco,male,Kohsuke Kawaguchi,,2012
Jenkins User Conference San Francisco,male,Manfred  Moser,,2012
Jenkins User Conference San Francisco,male,Mark Prichard,,2012
Jenkins User Conference San Francisco,male,Martin Schröder,,2012
